FNV	A32	DJB
988	1030	1028
1015	1069	958
1017	954	1015
992	1005	1019
970	1017	1027
1053	1010	982
1041	991	963
1017	1058	1006
978	981	976
983	1006	1067
1011	1026	1026
1045	1015	1037
980	1094	1033
949	1024	982
1018	967	1026
966	995	962
1022	970	1012
912	964	984
940	965	1012
1007	1012	1012
996	1057	944
1001	986	983
1035	938	938
1008	1008	969
1013	972	1022
1012	995	1012
1056	989	947
976	970	1062
955	993	1011
1006	972	1020
990	988	1013
1018	968	1027
1018	1004	1021
989	969	995
1032	978	1005
1000	978	1017
1008	986	1015
1035	998	988
997	1017	982
1029	962	985
938	1007	953
1066	1026	967
1019	977	1004
966	1018	985
1016	971	935
984	969	958
979	971	938
1020	1035	999
972	969	967
1017	1036	1013
1028	966	984
951	1006	1020
958	978	934
1025	981	990
968	1018	965
1007	1011	948
959	981	1010
1032	1073	991
1016	981	1009
1031	992	1040
990	954	925
982	1036	1012
1031	1046	966
1028	1053	1022
890	961	1023
952	1003	1073
1048	986	1027
1068	1031	995
961	1025	1022
1007	1035	985
985	1040	964
1042	1019	1042
1053	1022	1031
982	1057	1003
954	988	1062
1031	1017	1058
990	982	1041
997	987	1050
1025	1011	972
1020	951	1009
1045	1019	991
1012	978	964
1012	993	999
1015	1045	970
950	966	1049
995	1021	1009
982	991	991
978	976	958
952	995	983
983	962	1026
1037	1002	983
1083	991	1007
947	1003	989
1064	968	1039
1003	976	1024
942	998	966
982	1019	1014
1026	981	1055
982	1022	966
944	1043	1042

